trigrams,trigram_prediction,bigrams,bigram_prediction,unigrams,unigram_prediction
thanks for the,follow,in the,world,the,best
looking forward to,the,for the,follow,to,be
cant wait to,see,of the,day,i,love
thank you for,the,on the,way,a,great
going to be,a,to be,a,you,are
i want to,be,to the,next,and,i
a lot of,people,at the,end,in,the
i love you,so,thanks for,the,for,the
to be a,great,going to,be,of,the
for the follow,i,if you,want,is,a
i need to,get,have a,great,it,was
im going to,be,i have,a,my,life
one of the,best,i love,you,on,the
i have a,feeling,for a,great,that,i
to see you,there,i am,so,me,to
have a great,day,i dont,know,be,a
i have to,go,to get,a,at,the
is going to,be,to see,you,with,the
i dont know,what,thank you,for,have,a
to go to,the,is a,great,your,favorite
you have a,great,will be,a,this,is
let me know,if,i was,just,so,much
i cant wait,to,want to,be,are,you
i think i,have,i think,i,im,not
i wish i,could,is the,best,just,got
i feel like,i,a great,day,we,are
you want to,be,in a,few,but,i
of the day,is,i just,want,not,a
cant wait for,the,and i,will,like,a
would love to,see,have to,be,all,the
one of my,favorite,you are,a,was,a
a great day,to,are you,going,its,a
wait to see,you,need to,get,out,the
in the world,is,it was,a,get,a
you have to,be,do you,have,up,to
it was a,great,i can,get,if,you
so i can,get,you have,a,what,you
you so much,for,but i,dont,do,you
i will be,in,i know,i,love,you
i dont think,i,with the,new,will,be
the end of,the,all the,time,good,luck
the rest of,the,the best,of,about,the
be able to,get,to do,it,can,you
do you have,a,to go,to,dont,know
had a great,time,a good,day,day,to
if you want,to,be a,good,rt,of
out of the,way,i cant,wait,from,the
for the rt,and,it is,a,when,i
dont want to,be,in my,life,one,of
so much for,the,so much,for,now,i
what do you,think,on my,way,know,what
you for the,follow,cant wait,to,time,to
thanks for following,me,one of,the,how,to
thanks so much,for,of my,life,thanks,for
happy mothers day,to,you can,do,great,day
i had a,great,out of,the,no,one
do you think,of,you know,what,as,a
how are you,doing,right now,i,u,have
to see the,avengers,i will,be,they,are
if you have,a,and the,rest,or,the
wish i could,be,we are,all,today,is
if you are,a,this is,the,go,to
i need a,new,like a,good,new,york
check it out,and,i need,to,an,i
the first time,in,when i,was,see,you
you need to,be,with a,new,our,new
what are you,doing,go to,the,more,than
want to be,a,i want,to,some,of
look forward to,seeing,when you,get,lol,i
is the best,thing,on a,new,there,is
i hope you,have,had a,great,by,the
go to the,gym,the same,thing,going,to
if you dont,like,if i,can,he,best
i dont have,to,that i,have,think,i
in the morning,and,of a,good,too,much
let us know,if,see you,there,who,is
it would be,a,love you,so,got,a
to have a,good,a lot,of,back,to
all the time,but,from the,s,cant,wait
need to get,a,forward to,seeing,would,be
we need to,get,im not,sure,people,who
i miss you,too,to make,a,us,on
i know i,am,for you,to,need,to
for the first,time,to have,a,am,i
to get a,new,was a,great,make,it
i dont want,to,last night,i,want,to
thank you so,much,would be,a,has,been
i love the,way,trying to,get,well,i
looking for a,new,i hope,you,really,good
i love it,when,i would,love,been,a
a great time,at,to my,new,right,now
i am so,excited,so i,can,were,a
it will be,a,to me,i,much,for
there is a,lot,i got,a,had,a
have a good,day,time to,get,tonight,at
are going to,be,way to,go,work,on
going to the,gym,to a,great,happy,birthday
we have a,new,a new,one,come,to
of the year,and,the world,is,only,one
to all the,moms,to you,and,follow,me
its going to,be,its a,good,night,at
would like to,see,back to,the,them,to
in front of,me,the new,year,did,you
please follow me,i,i had,a,last,night
to meet you,too,we have,a,still,have
to be in,the,get a,chance,thats,a
on my way,to,i get,a,why,do
a great weekend,and,you for,the,should,be
how do you,feel,with my,mom,way,to
to be the,best,the first,time,off,to
hope to see,you,for me,to,here,is
be sure to,check,about the,new,best,of
this is the,first,did you,know,youre,not
want to go,to,follow me,i,hope,you
i have no,idea,that is,a,his,is
end of the,day,a little,bit,her,than
part of the,day,and a,half,ill,be
of the best,things,i feel,like,life,is
that would be,a,the day,i,thank,you
a good day,for,i hate,when,than,the
shout out to,my,what you,think,then,i
know how to,make,wait to,see,never,been
to make a,difference,as a,great,first,time
we will be,at,you guys,are,say,that
in my life,i,you dont,have,show,at
the only one,who,a few,days,next,week
i had to,go,i could,be,over,the
have to be,a,i like,the,game,is
are you going,to,should be,a,oh,my
check out the,new,looking forward,to,better,than
rest of the,day,for my,birthday,she,is
i think its,time,dont know,what,their,own
there is no,such,is not,a,twitter,is
you going to,be,check out,the,week,and
did you know,that,me i,love,always,be
do you know,what,all of,the,take,a
one of those,days,i wish,i,him,to
this is a,great,they are,the,any,of
dont know what,to,i do,not,down,to
to make it,to,is it,just,year,old
at the end,of,by the,way,please,follow
all of the,above,the only,one,tomorrow,night
is one of,the,hope you,have,could,be
i got a,new,with you,and,even,if
i used to,be,you and,your,wait,to
dont forget to,follow,in your,life,getting,ready
happy birthday to,my,me to,the,looking,forward
some of the,best,how to,get,,you
to talk to,you,for your,support,man,i
rt if you,love,we can,do,ever,been
trying to get,to,there is,a,look,at
i cant believe,i,you want,to,sure,to
as long as,you,to all,the,where,you
want to see,the,the way,to,haha,i
you know what,i,what i,do,ive,been
thank you to,all,let me,know,after,the
for all the,support,be the,best,very,time
as much as,i,love to,see,feel,like
i just want,to,you to,all,yes,i
when i was,a,do it,again,everyone,is
be a good,day,to hear,that,let,me
i am a,big,got a,new,big,fan
will be a,great,this weekend,and,being,a
a bunch of,people,like the,new,home,from
back to the,grind,know what,you,morning,and
in love with,you,i didnt,know,because,i
i dont like,it,at least,i,hey,are
dont have to,be,the most,important,something,to
i dont even,know,of your,life,keep,it
of my life,i,ill be,in,weekend,and
know if you,need,have been,a,fun,to
to do it,again,looking for,a,into,the
i was just,thinking,make it,to,awesome,i
need to be,on,on your,way,thing,to
but i dont,think,this week,is,gonna,be
is a great,day,like to,see,again,i
at the same,time,it i,have,things,are
just want to,be,have you,been,didnt,know
wish i was,there,to work,on,doing,a
i love my,job,you think,you,d,to
i think im,going,im going,to,every,time
for the next,few,now i,have,free,to
getting ready for,the,i really,want,nice,to
i have been,trying,of you,and,th,the
on the way,to,lol i,was,someone,who
i wonder if,i,this morning,and,guys,are
awkward moment when,you,to say,that,bad,for
go back to,sleep,not a,good,help,me
i hate when,people,that was,a,other,day
sounds like a,great,my life,is,school,and
the same thing,about,its not,a,those,who
see you there,rt,on twitter,and,check,out
the fact that,i,me and,my,world,is
i would love,to,that you,are,does,not
getting ready to,go,what a,great,tell,me
you are a,good,is so,much,live,in
to have you,on,about to,go,many,people
a long time,ago,just got,a,before,i
my way to,the,you i,love,long,time
its time to,get,up to,the,may,be
the same time,i,lot of,people,pm,at
i am not,a,feel like,i,give,me
to get my,hair,is going,to,little,bit
i get a,follow,wish i,could,tweet,me
ready for the,weekend,you should,be,soon,as
you had a,great,out to,the,music,video
i love that,song,thanks to,all,days,of
a chance to,win,ready for,the,yeah,i
it is a,great,are the,best,friends,and
not going to,be,it to,see,call,me
hope you have,a,the last,time,watching,the
if you need,a,the next,few,made,it
of my favorite,things,you get,a,coming,to
gonna be a,good,get to,see,amazing,and
i just got,a,the follow,i,w,i
when i get,home,i thought,it,most,of
what to do,with,what is,the,same,thing
a couple of,weeks,at pm,on,stop,by
back in the,day,need a,new,miss,you
to get the,word,is that,a,wish,i
are you doing,to,such a,great,said,i
check out our,new,im so,excited,start,a
i get to,see,has been,a,find,out
happy new year,to,i miss,you,two,weeks
get out of,the,you do,not,ready,for
in the middle,of,be in,the,watch,the
mothers day to,all,me a,little,also,a
to get to,the,have the,best,play,the
you and your,family,i guess,i,hate,when
to do with,it,ready to,go,done,with
is in the,air,ive been,waiting,use,i
have to go,to,looks like,a,anyone,else
i think the,same,listening to,the,another,day
thanks for sharing,the,and you,are,talk,to
wait for the,next,to come,to,old,me
can i get,a,love the,new,girl,i
let you know,when,im a,big,these,days
to take a,nap,you were,a,god,bless
you dont have,to,you need,to,lets,go
you guys are,awesome,of our,new,pretty,sure
i can get,a,this year,i,whats,up
be in the,same,to your,tweets,real,life
have no idea,what,part of,the,excited,to
you know that,the,love it,when,cool,i
i know you,are,can you,please,s,for
would be a,good,out the,new,working,on
in a few,weeks,to take,a,around,the
thanks to all,who,more than,a,win,a
i dont care,what,kind of,a,try,to
thought it was,a,dont have,to,thought,i
forward to seeing,you,i see,you,hard,to
all the way,to,think i,have,having,a
be a great,day,as well,as,hear,that
much for the,rt,happy birthday,to,team,is
was going to,be,has a,great,years,ago
out of my,head,we will,be,doesnt,mean
right now i,am,up with,the,while,i
and i will,be,and im,not,ur,new
i think you,should,it out,of,put,it
its been a,long,to watch,the,friday,night
make sure you,have,to know,what,though,i
wish i had,a,the time,to,sorry,i
every time i,see,gonna be,a,trying,to
i didnt know,you,you in,the,makes,me
that was a,good,get it,in,maybe,i
is not a,good,to start,the,glad,you
to all of,our,for all,the,away,from
who wants to,be,good morning,everyone,hes,a
i am going,to,see the,avengers,already,know
is a good,thing,is my,favorite,lot,of
so we can,get,get the,word,wanna,go
where are you,going,can be,a,house,and
im about to,go,there are,no,forward,to
id love to,see,rt i,love,saw,a
me know if,you,good luck,to,birthday,to
i was in,the,about it,i,st,night
im trying to,get,was the,best,yet,but
im not sure,if,in this,world,nothing,to
hit me up,if,and then,i,looks,like
you in the,face,he is,a,guy,who
to be on,the,at a,great,through,the
you will be,missed,can i,get,id,you
time to get,ready,with me,and,job,on
if you can,get,you will,be,party,at
the only thing,that,my favorite,part,might,be
and i have,a,up for,the,making,a
have to do,is,able to,get,until,the
go to sleep,but,do i,have,beautiful,day
great to see,you,having a,great,song,is
i have the,best,you a,dm,favorite,song
thanks for your,support,you like,to,friend,is
dont know how,to,lots of,great,few,days
for a great,cause,up and,running,ok,at
id like to,see,but im,not,mean,i
so excited to,see,that the,truth,everything,is
for me to,get,no one,is,book,and
up in the,morning,a big,fan,name,is
love to see,you,time i,see,sleep,in
spread the word,about,come to,the,must,be
the middle of,the,make a,difference,ya,know
we have to,get,had to,be,read,the
is there a,way,my mom,is,wow,i
its gonna be,a,working on,a,family,and
i just saw,a,the game,is,end,of
that awkward moment,when,all day,and,stay,tuned
i like the,way,up on,the,food,and
i wanted to,go,am i,the,person,who
a part of,the,you cant,be,anything,to
and i dont,know,on this,day,class,and
for the mention,and,is on,the,since,i
i think it,was,so many,people,TRUE,i
thank you i,am,of course,i,which,is
and i love,you,so far,so,place,to
for the ff,love,excited to,see,hit,me
but i think,i,what are,you,open,for
going to get,a,to meet,you,actually,i
i was a,kid,up the,good,following,me
all is well,with,wait for,the,phone,and
for a while,but,know how,to,theres,a
for you to,follow,i did,not,money,to
the way to,the,we need,to,n,the
give me a,shout,take a,look,believe,in
i want a,new,time for,a,playing,the
to check out,the,tell me,what,movie,is
what is the,best,day of,the,news,on
i love your,tweets,try to,get,wont,be
a good time,to,is in,the,season,of
see you at,the,you so,much,kids,are
am going to,be,out there,and,mom,is
going to have,to,and it,was,guess,i
im pretty sure,i,just a,few,own,to
i can do,it,to find,out,gotta,get
in my head,all,if youre,not,video,of
want to do,is,the end,of,both,of
i thought it,was,miss you,too,run,with
what a great,day,talking about,the,change,the
be on the,lookout,it will,be,such,a
no matter what,i,some of,the,email,me
to see it,in,makes me,feel,talking,about
what is your,favorite,mothers day,to,support,the
to figure out,how,used to,be,remember,the
forward to the,next,to follow,me,went,to
if i can,get,the other,day,says,i
as soon as,i,today i,am,part,of
what kind of,donuts,i should,be,head,of
will be in,the,it up,and,welcome,to
feel like i,have,know i,am,left,to
is gonna be,a,my new,followers,else,is
know what you,think,i wanna,go,havent,been
make sure to,check,back in,the,meet,you
so much fun,with,better than,the,hot,in
are the best,i,next week,for,congrats,to
did you get,the,would love,to,enough,to
excited to see,you,like that,i,summer,is
in a while,i,all my,friends,thinking,about
welcome to the,team,it would,be,without,a
you dont know,what,and my,mom,baby,i
keep up the,good,all i,want,stuff,i
to all my,new,but it,was,early,to
of the week,is,i still,have,times,i
should be a,great,for this,weekend,isnt,it
will you be,there,me know,if,hours,of
and i am,so,you all,have,cause,i
follow me i,love,how much,i,enjoy,the
i would have,to,if u,want,crazy,but
have you been,to,like it,was,finally,got
you are the,best,to help,you,city,of
to listen to,the,it in,the,followers,i
i went to,the,he was,a,far,away
what you think,of,a long,time,p,to
a good one,to,the th,annual,care,of
to follow me,on,be there,for,high,school
to watch the,game,with your,friends,word,of
out to the,show,im in,the,mind,me
so proud of,you,you just,have,ask,for
looks like a,great,too much,to,heard,of
supposed to be,a,not to,be,funny,how
i dont get,it,dont want,to,send,me
i know its,not,the one,who,myself,to
see you in,the,talk to,you,tweets,are
moment when you,realize,for some,reason,facebook,page
all of you,who,up in,the,fan,of
is on the,way,of it,is,sounds,like
to see what,you,over the,weekend,needs,to
a beautiful day,in,not the,only,heart,is
want to get,in,into the,new,business,and
has to be,the,and get,a,seen,the
have to get,up,for our,new,used,to
hope you are,having,i havent,been,idea,of
way to go,girl,great day,to,hour,and
you at the,next,good to,see,almost,done
a little bit,of,to our,new,girls,are
i like to,think,not sure,if,bring,it
it looks like,a,but the,best,car,and
be at the,beach,at all,the,r,the
day to all,the,like i,have,b,and
dont have a,problem,i saw,a,fans,are
how much i,love,be on,the,luck,to
it to the,final,make sure,you,least,i
hope all is,well,so excited,to,probably,the
i guess i,should,is to,be,saturday,night
you can do,it,needs to,be,eat,day
you have any,questions,off to,the,hi,to
me if you,want,look at,the,sunday,night
that i have,a,day to,all,kind,of
will be the,death,you too,i,buy,a
one of our,favorite,to win,a,wrong,with
go to bed,now,to sleep,in,face,of
thats what i,thought,day i,will,post,on
there will be,a,its the,best,meeting,you
and i are,going,to play,with,gets,a
by the way,i,listen to,the,full,of
used to be,a,as i,am,taking,a
a way to,get,do not,have,found,out
i see you,at,the show,tonight,ha,i
it was great,to,life is,a,room,for
to talk about,the,and we,will,event,in
but i cant,wait,im gonna,be,whole,thing
is such a,good,know if,you,bed,and
going to see,the,end of,the,theyre,not
i love how,i,what do,you,feeling,like
in the us,and,because i,dont,social,media
when it comes,to,are so,many,seeing,you
my best friend,and,tonight at,the,once,again
were going to,be,today is,the,la,and
do you want,to,a bit,of,late,to
stay tuned for,more,could be,a,tv,show
will be at,the,know that,i,top,by
to everyone who,came,wanted to,say,yourself,to
to get out,of,have no,idea,story,of
i thought i,was,off the,hook,black,and
get back to,you,but its,not,super,bowl
to find out,what,can do,it,hair,is
to see my,family,would you,like,reading,the
but i have,to,im just,gonna,yesterday,i
you for your,support,for following,me,sad,to
i would like,to,dont think,i,dude,i
im not a,fan,got to,be,join,us
want to know,what,to talk,to,break,from
for the day,i,come on,down,games,and
last night i,was,it on,the,set,up
feel free to,email,and its,not,called,me
in a row,i,hard to,get,monday,night
is the most,important,how many,times,came,out
is about to,be,what the,is,sometimes,i
is the only,thing,sounds like,a,aint,no
i dont wanna,go,are a,lot,listening,to
needs to be,a,out for,the,told,me
so excited for,the,a day,off,lunch,with
to get in,the,from a,great,okay,i
good to see,you,wants to,be,together,and
dont even know,what,people who,are,point,of
i go to,the,would have,been,sweet,dreams
i would be,the,of this,world,shes,a
in the same,room,been a,long,lost,my
such a great,time,you on,the,saying,that
cinco de mayo,is,going on,in,media,is
had a good,time,can get,a,coffee,and
i can see,the,make me,feel,yall,are
it in the,morning,social media,is,forget,to
you know i,love,is your,favorite,special,guest
thanks for all,the,who is,the,dinner,with
when you get,a,for that,one,rock,the
to get it,in,is just,a,perfect,for
was a great,day,just saw,a,waiting,for
working on a,new,to keep,up,weeks,ago
there was a,way,like you,are,definitely,a
on the road,to,how do,you,starting,to
to see if,i,the rest,of,line,for
for following me,on,first time,in,learn,how
i think we,should,the word,about,state,of
to do a,lot,at my,house,minutes,of
to see a,movie,at work,today,half,of
i love this,song,but you,can,youll,be
why am i,so,i never,thought,leave,the
i know im,not,you got,a,moment,when
of the world,is,of all,the,words,of
no matter how,much,the right,thing,started,a
have to say,i,on that,one,red,to
reminds me of,the,know you,are,weather,is
you are so,right,when the,sun,wants,to
for the weekend,to,must be,a,during,the
oh my god,i,for an,hour,goes,to
when you have,a,glad you,enjoyed,text,me
me and my,friends,waiting for,the,course,i
why are you,so,yes i,am,less,than
you follow me,please,it all,the,month,of
just got a,new,went to,the,seriously,i
love you so,much,my phone,is,each,other
hope you had,a,my first,time,list,of
ready to go,to,watching the,game,fucking,hate
we had a,great,of them,are,white,house
will have to,do,you at,the,move,to
a fan of,the,me up,with,question,is
get ready for,the,me in,the,chance,to
if i had,a,the whole,thing,later,this
thx for the,follow,on it,is,interesting,to
to get back,to,in our,lives,bout,the
a few days,ago,how are,you,wanted,to
on the phone,with,a couple,of,pick,up
take care of,you,instead of,the,online,and
all of our,new,they have,a,o,the
and thanks for,the,hope to,see,office,is
check us out,at,it and,i,wonder,if
to work on,my,for it,to,took,a
for a few,days,shout out,to,ago,and
going to do,a,me on,the,bit,of
dont know if,i,on our,way,wasnt,a
for a new,car,might be,a,tickets,to
for the shout,out,have an,amazing,page,and
need to go,to,think of,the,loved,it
on the radio,and,if it,was,close,to
talk to you,about,out and,get,drink,and
the last time,i,talk about,the,comes,to
what did you,think,at am,i,boy,i
ill be there,in,great to,see,beer,and
see you soon,rt,yeah i,know,using,the
in the face,of,is an,amazing,lots,of
just wanted to,say,why i,love,listen,to
like to see,a,look like,a,totally,agree
you know you,can,to give,me,women,in
last day of,school,get your,tickets,others,day
i like it,when,and your,family,agree,with
you on the,show,much for,the,missed,you
and it was,a,me too,i,bro,i
i do not,want,is this,a,happen,to
for the new,year,should have,been,running,the
to find a,way,dont forget,to,wonderful,day
up on the,days,was just,a,problem,with
ill have to,check,its been,a,between,the
just have to,wait,congrats to,the,either,way
thanks to everyone,who,i always,get,gone,to
you can get,a,to it,and,students,to
all of my,followers,a while,i,chicago,for
i am in,the,you could,be,different,than
me in the,face,haha i,know,seems,like
chance to win,a,you love,me,nd,i
thanks to for,the,i mean,i,info,on
we want to,hear,why do,i,cute,and
i really want,to,a very,good,future,of
me want to,go,here in,the,walk,in
really want to,go,so good,to,outside,of
wait to get,my,i wonder,if,rest,of
would have been,a,happy to,be,means,a
follow me back,please,thats a,good,mothers,day
glad to hear,it,of those,days,past,few
good luck to,all,sure to,check,reason,to
most of the,time,if they,are,yo,i
to work with,you,rest of,the,second,time
when are you,coming,well i,guess,fall,asleep
you get a,chance,about you,and,art,of
